antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,support_count,antecedent_count,test_confidence,score
"frozenset({'enc_vessel_type=fishing', 'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]', 'shore_start=(3.932, 7.334]'})",frozenset({'Risk=True'}),0.027972027972027972,0.09090909090909091,0.024475524475524476,0.875,9.625,1.0,0.021932612841703752,7.2727272727272725,0.9218910585817062,0.2592592592592593,0.8625,0.5721153846153846,21,24,0.2608695652173913,2.510869565217391
"frozenset({'port_start=(4.416, 7.536]', 'enc_vessel_flag=Other', 'speed=(0.147, 1.098]', 'vessel_flag=Other', 'shore_start=(3.932, 7.334]'})",frozenset({'Risk=True'}),0.023310023310023312,0.09090909090909091,0.02097902097902098,0.9,9.9,1.0,0.018859927950837043,9.090909090909093,0.9204455051710422,0.225,0.89,0.5653846153846154,18,20,0.25,2.475
"frozenset({'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]', 'vessel_flag=Other', 'vessel_type=fishing', 'shore_start=(3.932, 7.334]'})",frozenset({'Risk=True'}),0.024475524475524476,0.09090909090909091,0.02097902097902098,0.8571428571428572,9.428571428571429,1.0,0.018753973299427844,6.363636363636366,0.9163679808841099,0.2222222222222222,0.842857142857143,0.543956043956044,18,21,0.23809523809523808,2.2448979591836733
"frozenset({'enc_vessel_type=fishing', 'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'shore_start=(3.932, 7.334]', 'vessel_type=fishing'})",frozenset({'Risk=True'}),0.026806526806526808,0.09090909090909091,0.02097902097902098,0.782608695652174,8.608695652173914,1.0,0.018542063996609452,4.1818181818181825,0.9081836327345311,0.21686746987951805,0.7608695652173914,0.5066889632107023,18,23,0.23809523809523808,2.049689440993789
"frozenset({'port_start=(4.416, 7.536]', 'enc_vessel_flag=Other', 'speed=(0.147, 1.098]', 'shore_start=(3.932, 7.334]', 'vessel_type=fishing'})",frozenset({'Risk=True'}),0.03146853146853147,0.09090909090909091,0.024475524475524476,0.7777777777777777,8.555555555555554,1.0,0.02161474888747616,4.090909090909089,0.9118102114492006,0.25,0.7555555555555554,0.5235042735042734,21,27,0.2222222222222222,1.9012345679012341
"frozenset({'enc_vessel_type=fishing', 'port_start=(4.416, 7.536]', 'enc_vessel_flag=Other', 'speed=(0.147, 1.098]', 'shore_start=(3.932, 7.334]'})",frozenset({'Risk=True'}),0.027972027972027972,0.09090909090909091,0.02097902097902098,0.75,8.25,1.0,0.018436109345200256,3.6363636363636362,0.9040767386091128,0.2142857142857143,0.725,0.4903846153846154,18,24,0.22727272727272727,1.875
"frozenset({'enc_vessel_type=fishing', 'port_start=(4.416, 7.536]', 'enc_vessel_flag=Other', 'shore_start=(3.932, 7.334]', 'vessel_type=fishing'})",frozenset({'Risk=True'}),0.030303030303030304,0.09090909090909091,0.02097902097902098,0.6923076923076923,7.615384615384615,1.0,0.01822420004238186,2.954545454545454,0.8958333333333334,0.20930232558139533,0.6615384615384615,0.46153846153846156,18,26,0.23076923076923078,1.757396449704142
"frozenset({'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'start_hour=0', 'port_start=(4.416, 7.536]'})",frozenset({'Risk=True'}),0.030303030303030304,0.09090909090909091,0.02097902097902098,0.6923076923076923,7.615384615384615,1.0,0.01822420004238186,2.954545454545454,0.8958333333333334,0.20930232558139533,0.6615384615384615,0.46153846153846156,18,26,0.19444444444444445,1.4807692307692306
"frozenset({'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'duration=(1.1520000000000001, 2.015]', 'port_start=(4.416, 7.536]'})",frozenset({'Risk=True'}),0.05710955710955711,0.09090909090909091,0.04195804195804196,0.7346938775510204,8.081632653061225,1.0,0.03676626403899131,3.426573426573427,0.9293366295838482,0.39560439560439553,0.7081632653061225,0.598116169544741,36,49,0.14285714285714285,1.154518950437318
"frozenset({'enc_vessel_type=fishing', 'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]', 'duration=(1.1520000000000001, 2.015]', 'shore_start=(3.932, 7.334]'})",frozenset({'Risk=True'}),0.047785547785547784,0.09090909090909091,0.03263403263403263,0.6829268292682926,7.512195121951219,1.0,0.028289891926255563,2.8671328671328666,0.9103864311942648,0.3076923076923077,0.6512195121951219,0.5209505941213257,28,41,0.14473684210526316,1.0872913992297817
